" ago"," ago"
" and "," and "
" days ago"," days ago"
" months ago"," months ago"
" years"," years"
"A total of %1 question(s) have been changed status.","A total of %1 question(s) have been changed status."
"A total of %1 question(s) have been deleted.","A total of %1 question(s) have been deleted."
"A","A"
"Action","Action"
"Add New Answer","Add New Answer"
"Add New Question","Add New Question"
"Add Product to Question","Add Product to Question"
"Add a Question","Add a Question"
"Add","Add"
"Add","Add"
"Administrator","Administrator"
"All Answers","All Answers"
"All Questions","All Questions"
"All Store Views","All Store Views"
"Answer has been saved","Answer has been saved"
"Answer has been updated","Answer has been updated"
"Answer has not been saved","Answer has not been saved"
"Answer has not been updated","Answer has not been updated"
"Answer this Question","Answer this Question"
"Answer","Answer"
"Answers only","Answers only"
"Answers","Answers"
"Any","Any"
"Approved","Approved"
"Are you sure want to remove the inappropriate flag?","Are you sure want to remove the inappropriate flag?"
"Are you sure?","Are you sure?"
"Ask Your Question","Ask Your Question"
"Ask a New Question","Ask a New Question"
"Auto approval for Customers & Visitors","Auto approval for Customers & Visitors"
"Auto approval for Customers","Auto approval for Customers"
"Be the first to ask a question about this product","Be the first to ask a question about this product"
"Both Nickname and Answer are required","Both Nickname and Answer are required"
"Cancel","Cancel"
"Change status","Change status"
"Created On","Created On"
"Customer","Customer"
"Customers only","Customers only"
"Del","Del"
"Delete Question","Delete Question"
"Delete","Delete"
"Do not send, Q/A","Do not send, Q/A"
"Do you really want to remove the question? All answers will be removed as well","Do you really want to remove the question? All answers will be removed as well"
"Edit Question","Edit Question"
"Edit Questions","Edit Questions"
"Edit","Edit"
"Email address should not be left blank","Email address should not be left blank"
"Email has been sent","Email has been sent"
"Enable","Enable"
"Expand All","Expand All"
"Export to:","Export to:"
"Failed to send email","Failed to send email"
"GO","GO"
"Guest","Guest"
"HTML Tags allowed","HTML Tags allowed"
"Helpful","Helpful"
"Hide the Form","Hide the Form"
"ID","ID"
"Inappr","Inappr"
"Inappropriate","Inappropriate"
"Incorrect CAPTCHA!","Incorrect CAPTCHA!"
"Length","Length"
"Loading...","Loading..."
"Manage All Questions","Manage All Questions"
"Manual approval","Manual approval"
"Maximum answer length is ","Maximum answer length is "
"Maximum question length is ","Maximum question length is "
"Most Recent Questions","Most Recent Questions"
"My Questions","My Questions"
"My Questions/Answers","My Questions/Answers"
"Name","Name"
"New Answer received","New Answer received"
"New Question received","New Question received"
"New Question","New Question"
"New answer added for Customer (default)","New answer added for Customer (default)"
"New answer added for Guest (default)","New answer added for Guest (default)"
"New question added for Admin (default)","New question added for Admin (default)"
"Next page","Next page"
"Nickname","Nickname"
"No records found.","No records found."
"No","No"
"Not Helpful","Not Helpful"
"Notify me by email when answer received","Notify me by email when answer received"
"Notify me by email when answer received:","Notify me by email when answer received:"
"Oldest Questions","Oldest Questions"
"Pending","Pending"
"Please add at least one product","Please add at least one product"
"Please select question(s).","Please select question(s)."
"Please wait...","Please wait..."
"Please, enter email","Please, enter email"
"Please, enter email...","Please, enter email..."
"Posted By","Posted By"
"Posted On","Posted On"
"Previous page","Previous page"
"Product Id","Product Id"
"Product Name","Product Name"
"Product Q/A %1","Product Q/A %1"
"Product SKU","Product SKU"
"Product","Product"
"Q","Q"
"Question Details","Question Details"
"Question has been added","Question has been added"
"Question has been saved","Question has been saved"
"Question has been updated","Question has been updated"
"Question has not been added","Question has not been added"
"Question has not been updated","Question has not been updated"
"Question is visible in","Question is visible in"
"Question","Question"
"Questions & Answers","Questions & Answers"
"Questions With  Oldest Answers","Questions With  Oldest Answers"
"Questions With Most Answers","Questions With Most Answers"
"Questions With Most Recent Answers","Questions With Most Recent Answers"
"Questions With The Most Helpful Answers","Questions With The Most Helpful Answers"
"Questions only","Questions only"
"Questions","Questions"
"Rated as Inappropriate!","Rated as Inappropriate!"
"Rating","Rating"
"Rejected","Rejected"
"Remove","Remove"
"Report as Inappropriate","Report as Inappropriate"
"Reset","Reset"
"Save Question","Save Question"
"Save and Continue Edit","Save and Continue Edit"
"Search Q/A","Search Q/A"
"Search phrase","Search phrase"
"Sign Up for Newsletter","Sign Up for Newsletter"
"Sku","Sku"
"Sorry, but administrator denied subscription for guests","Sorry, but administrator denied subscription for guests"
"Sorry, nothing found for %1","Sorry, nothing found for %1"
"Sort by","Sort by"
"Status","Status"
"Subscribe","Subscribe"
"Subscription successfull","Subscription successfull"
"Thank you for submitting your answer! It will appear after moderation.","Thank you for submitting your answer! It will appear after moderation."
"Thank you for submitting your answer!","Thank you for submitting your answer!"
"Thank you for submitting your question! It will appear after moderation.","Thank you for submitting your question! It will appear after moderation."
"Thank you for submitting your question!","Thank you for submitting your question!"
"Thank you for your report! Our moderator will review it shortly.","Thank you for your report! Our moderator will review it shortly."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: This email address is already assigned to another user.","There was a problem with the subscription: This email address is already assigned to another user."
"Type","Type"
"Unsubscribe","Unsubscribe"
"View Details","View Details"
"Visible In","Visible In"
"Visitors & Customers","Visitors & Customers"
"Yes","Yes"
"Yes, helpful/not helpful/inappropriate","Yes, helpful/not helpful/inappropriate"
"Yes, inappropriate only","Yes, inappropriate only"
"You already subscribed for this question","You already subscribed for this question"
"You have been unsubscribed","You have been unsubscribed"
"You have no answers","You have no answers"
"You have no questions","You have no questions"
"Your Answer","Your Answer"
"Your Question","Your Question"
"[deleted]","[deleted]"
"answer","answer"
"answers","answers"
"by","by"
"helpful","helpful"
"not helpful","not helpful"
"of %1","of %1"
"of","of"
"per page","per page"
"question","question"
"records found","records found"
"remove flag","remove flag"
"selected","selected"
"subscribed","subscribed"
"today","today"
"unmark","unmark"
